Metadata_CellLine	Metadata_Condition	Metadata_Plate	Metadata_Well	Metadata_Site	Metadata_Nuclei_Site_Count	UMAP0	UMAP1
293T	untreated	slide4	B4	M47	271	-0.41489705	7.782033
786O	DDX39A kd4	slide4	A2	M45	147	14.18012	-0.3662922
786O	NTC	slide4	A1	M19	59	4.820596	2.207833
293T	untreated	slide4	B4	M38	697	-2.5363705	3.626906
786O	TMEM259 kd5	slide4	B3	M17	38	5.1964955	0.04427745
786O	TMEM259 kd6	slide4	A4	M45	231	2.5908978	2.6632032
786O	TMEM259 kd5	slide4	B3	M13	136	3.2285924	0.082924366
786O	DDX39A kd1	slide4	B1	M30	156	5.591862	0.94735634
293T	untreated	slide4	B4	M37	360	-2.2529395	2.00884
786O	DDX39A kd4	slide4	A2	M29	161	4.3483357	2.2658155
786O	TMEM259 kd5	slide4	B3	M39	199	2.0122974	1.0716484
293T	untreated	slide4	B4	M46	317	4.6902995	3.0857882
293T	untreated	slide4	B4	M25	842	-1.2509357	8.039304
293T	untreated	slide4	B4	M39	658	-3.6770332	1.1510892
786O	SARNP kd9	slide4	A3	M35	93	4.8157296	0.6199412
293T	untreated	slide4	B4	M5	865	-0.14411587	0.7127338
293T	untreated	slide4	B4	M53	474	-2.3260834	2.4436784
786O	SARNP kd9	slide4	A3	M31	57	6.168062	0.86750466
293T	untreated	slide4	B4	M42	593	-1.4220871	7.162419
786O	TMEM259 kd6	slide4	A4	M47	208	3.995636	1.3425195
786O	SARNP kd9	slide4	A3	M45	72	4.892463	0.40910167
293T	untreated	slide4	B4	M61	769	0.051835187	1.16912
786O	DDX39A kd4	slide4	A2	M29	161	1.6597451	0.08272314
786O	DDX39A kd1	slide4	B1	M28	247	2.8609383	-0.20835708
293T	untreated	slide4	B4	M22	795	-1.2355274	8.055813
786O	SARNP kd9	slide4	A3	M8	61	6.5051103	1.1144216
786O	SARNP kd3	slide4	B2	M18	31	5.3468513	0.9374759
293T	untreated	slide4	B4	M3	650	-1.2872293	-0.23475009
293T	untreated	slide4	B4	M9	856	-2.1594048	0.2268436
293T	untreated	slide4	B4	M56	751	-2.5905795	0.76612264
786O	DDX39A kd4	slide4	A2	M23	44	3.7574863	-0.02485737
293T	untreated	slide4	B4	M21	788	-3.1510842	1.5449678
293T	untreated	slide4	B4	M26	678	-3.457809	1.150849
786O	NTC	slide4	A1	M61	30	4.038342	3.543336
786O	TMEM259 kd5	slide4	B3	M21	247	1.9124992	2.2487738
786O	SARNP kd3	slide4	B2	M19	235	3.066993	3.3028398
293T	untreated	slide4	B4	M3	650	-3.557237	0.3274909
293T	untreated	slide4	B4	M56	751	-3.373812	1.5700518
293T	untreated	slide4	B4	M4	684	-3.2992744	2.9964461
786O	SARNP kd3	slide4	B2	M37	198	2.115943	3.187668
786O	TMEM259 kd6	slide4	A4	M29	247	3.55521	3.4442096
786O	SARNP kd9	slide4	A3	M45	72	4.251976	1.7332255
786O	SARNP kd3	slide4	B2	M38	155	3.1448333	0.06249542
293T	untreated	slide4	B4	M41	709	-0.03354853	2.2047255
293T	untreated	slide4	B4	M61	769	-0.37047857	0.7817959
786O	DDX39A kd1	slide4	B1	M27	198	4.064743	-0.25466982
